fetch_date,rank,id,symbol,name,current_price,market_cap,total_volume,high_24h,low_24h,price_change_percentage_24h,last_updated
2025-08-04,1,bitcoin,btc,Bitcoin,115286.0,2294728334031,32098679973.0,115591.0,114148.0,0.7697,2025-08-04T23:25:43.934Z
2025-08-04,2,ethereum,eth,Ethereum,3723.8,449809337586,28525186002.0,3730.31,3495.1,6.0214,2025-08-04T23:25:37.926Z
2025-08-04,3,ripple,xrp,XRP,3.08,182778697391,6097831159.0,3.09,2.94,4.06666,2025-08-04T23:25:42.902Z
2025-08-04,4,tether,usdt,Tether,1.0,163913711365,70412607245.0,1.0,0.99986,0.00869,2025-08-04T23:25:42.238Z
2025-08-04,5,binancecoin,bnb,BNB,767.92,106963494873,1042201816.0,770.12,750.95,1.90494,2025-08-04T23:25:43.621Z
2025-08-04,6,solana,sol,Solana,169.39,91243346923,5118366178.0,169.51,161.54,4.2377,2025-08-04T23:25:41.196Z
2025-08-04,7,usd-coin,usdc,USDC,0.999813,64374641923,12558974359.0,0.999835,0.9996,0.01108,2025-08-04T23:25:43.300Z
2025-08-04,8,staked-ether,steth,Lido Staked Ether,3719.08,33055636115,61864134.0,3725.52,3486.9,6.08694,2025-08-04T23:25:41.434Z
2025-08-04,9,dogecoin,doge,Dogecoin,0.210632,31694644336,1837061073.0,0.210878,0.198733,5.42216,2025-08-04T23:25:37.329Z
2025-08-04,10,tron,trx,TRON,0.333136,31548583670,671514079.0,0.333024,0.327235,1.68753,2025-08-04T23:25:41.937Z
2025-08-04,11,cardano,ada,Cardano,0.756135,27357454095,854128337.0,0.757543,0.726026,3.75189,2025-08-04T23:25:38.614Z
2025-08-04,12,wrapped-bitcoin,wbtc,Wrapped Bitcoin,115065.0,14593451504,160876178.0,115492.0,113924.0,0.43955,2025-08-04T23:25:42.427Z
2025-08-04,13,wrapped-steth,wsteth,Wrapped stETH,4486.37,14528166524,48849240.0,4499.84,4224.32,5.62638,2025-08-04T23:25:42.421Z
2025-08-04,14,stellar,xlm,Stellar,0.415794,12999147927,555536408.0,0.418767,0.398337,3.76101,2025-08-04T23:25:41.328Z
2025-08-04,15,hyperliquid,hype,Hyperliquid,38.91,12990000089,242669477.0,39.29,37.35,1.50902,2025-08-04T23:25:38.067Z
2025-08-04,16,sui,sui,Sui,3.6,12650143488,1424637949.0,3.62,3.42,4.05638,2025-08-04T23:25:42.172Z
2025-08-04,17,wrapped-beacon-eth,wbeth,Wrapped Beacon ETH,3999.96,11867742351,25082537.0,4006.32,3754.39,6.21694,2025-08-04T23:25:42.097Z
2025-08-04,18,chainlink,link,Chainlink,17.12,11610276019,494195109.0,17.16,16.28,4.72676,2025-08-04T23:25:36.939Z
2025-08-04,19,bitcoin-cash,bch,Bitcoin Cash,573.34,11412136363,387649143.0,578.37,544.24,5.08188,2025-08-04T23:25:43.611Z
2025-08-04,20,hedera-hashgraph,hbar,Hedera,0.251099,10645632148,453564233.0,0.255313,0.245891,0.41379,2025-08-04T23:25:38.139Z
2025-08-04,21,wrapped-eeth,weeth,Wrapped eETH,3992.57,10486054709,21527572.0,4004.43,3744.92,6.05036,2025-08-04T23:25:42.875Z
2025-08-04,22,avalanche-2,avax,Avalanche,23.08,9747241895,579089197.0,23.08,21.37,7.50608,2025-08-04T23:25:43.217Z
2025-08-04,23,ethena-usde,usde,Ethena USDe,1.001,9501964517,501463644.0,1.001,1.0,-0.0193,2025-08-04T23:25:37.359Z
2025-08-04,24,litecoin,ltc,Litecoin,120.75,9193217627,1204146729.0,120.75,110.33,9.23591,2025-08-04T23:25:39.059Z
2025-08-04,25,weth,weth,WETH,3724.42,8558752968,91210050.0,3730.63,3493.14,6.03934,2025-08-04T23:25:42.790Z
2025-08-04,26,the-open-network,ton,Toncoin,3.42,8285746504,503130729.0,3.67,3.36,-3.99589,2025-08-04T23:25:41.956Z
2025-08-04,27,leo-token,leo,LEO Token,8.92,8233916260,2010558.0,8.99,8.92,-0.39621,2025-08-04T23:25:38.617Z
2025-08-04,28,usds,usds,USDS,0.999549,7721328445,6804897.0,0.999893,0.999568,-0.02266,2025-08-04T23:25:41.668Z
2025-08-04,29,shiba-inu,shib,Shiba Inu,1.253e-05,7382855346,158356596.0,1.254e-05,1.22e-05,2.5382,2025-08-04T23:25:40.995Z
2025-08-04,30,binance-bridged-usdt-bnb-smart-chain,bsc-usd,Binance Bridged USDT (BNB Smart Chain),1.0,6783228757,2110355081.0,1.002,0.997289,-0.03169,2025-08-04T23:25:44.114Z
2025-08-04,31,whitebit,wbt,WhiteBIT Coin,43.32,6243603022,39123475.0,43.39,42.55,1.50883,2025-08-04T23:25:42.068Z
2025-08-04,32,coinbase-wrapped-btc,cbbtc,Coinbase Wrapped BTC,115286.0,6175569386,356546560.0,115675.0,114086.0,0.7654,2025-08-04T23:25:37.235Z
2025-08-04,33,uniswap,uni,Uniswap,9.95,5979419023,605151011.0,10.06,9.15,8.22388,2025-08-04T23:25:41.950Z
2025-08-04,34,polkadot,dot,Polkadot,3.72,5668934326,219870722.0,3.75,3.6,2.97824,2025-08-04T23:25:40.312Z
2025-08-04,35,monero,xmr,Monero,304.47,5615495135,128414518.0,314.4,303.29,-0.03556,2025-08-04T23:25:39.075Z
2025-08-04,36,ethena-staked-usde,susde,Ethena Staked USDe,1.19,5272093840,58702343.0,1.19,1.19,0.02816,2025-08-04T23:25:37.184Z
2025-08-04,37,bitget-token,bgb,Bitget Token,4.39,4999165307,61706258.0,4.4,4.31,1.09974,2025-08-04T23:25:43.376Z
2025-08-04,38,crypto-com-chain,cro,Cronos,0.140382,4541475258,31521603.0,0.140413,0.129962,7.36932,2025-08-04T23:25:36.949Z
2025-08-04,39,pepe,pepe,Pepe,1.078e-05,4535440156,550250789.0,1.08e-05,1.038e-05,2.63897,2025-08-04T23:25:40.367Z
2025-08-04,40,aave,aave,Aave,268.08,4078278644,366859548.0,270.51,259.95,2.93596,2025-08-04T23:25:43.297Z
2025-08-04,41,ethena,ena,Ethena,0.608631,3871157319,1211842905.0,0.637447,0.593556,1.93302,2025-08-04T23:25:37.322Z
2025-08-04,42,dai,dai,Dai,0.999771,3742157686,95380050.0,1.0,0.999628,-0.00155,2025-08-04T23:25:37.056Z
2025-08-04,43,bittensor,tao,Bittensor,358.69,3430413815,96481983.0,361.73,349.63,2.14184,2025-08-04T23:25:43.546Z
2025-08-04,44,ethereum-classic,etc,Ethereum Classic,20.98,3211126205,96013562.0,21.04,19.87,5.14373,2025-08-04T23:25:37.623Z
2025-08-04,45,near,near,NEAR Protocol,2.56,3174169604,142733303.0,2.57,2.44,4.26822,2025-08-04T23:25:39.554Z
2025-08-04,46,ondo-finance,ondo,Ondo,0.953127,3011842130,134408649.0,0.955884,0.918972,3.02285,2025-08-04T23:25:39.750Z
2025-08-04,47,aptos,apt,Aptos,4.36,2928237397,379809379.0,4.36,4.22,2.861,2025-08-04T23:25:42.971Z
2025-08-04,48,mantle,mnt,Mantle,0.847914,2848652072,337560276.0,0.875121,0.708221,19.64337,2025-08-04T23:25:38.815Z
2025-08-04,49,internet-computer,icp,Internet Computer,5.31,2848592904,39631447.0,5.32,5.11,3.47123,2025-08-04T23:25:38.287Z
2025-08-04,50,pi-network,pi,Pi Network,0.362324,2814237761,71968201.0,0.364469,0.350755,0.0377,2025-08-04T23:25:39.770Z
2025-08-04,51,okb,okb,OKB,46.67,2800378327,5915199.0,46.88,46.25,0.47705,2025-08-04T23:25:39.367Z
2025-08-04,52,jito-staked-sol,jitosol,Jito Staked SOL,206.79,2683854385,18408031.0,207.06,197.19,4.18524,2025-08-04T23:25:38.410Z
2025-08-04,53,kaspa,kas,Kaspa,0.090975,2398273805,68949627.0,0.090978,0.085005,6.11307,2025-08-04T23:25:38.449Z
2025-08-04,54,blackrock-usd-institutional-digital-liquidity-fund,buidl,BlackRock USD Institutional Digital Liquidity Fund,1.0,2312815422,0.0,1.0,1.0,0.0,2025-08-04T23:25:06.141Z
2025-08-04,55,pudgy-penguins,pengu,Pudgy Penguins,0.03637338,2288698324,769579918.0,0.03719252,0.03451865,0.59571,2025-08-04T23:25:40.363Z
2025-08-04,56,binance-peg-weth,weth,Binance-Peg WETH,3725.53,2254036892,60267729.0,3729.29,3494.85,5.92833,2025-08-04T23:25:43.641Z
2025-08-04,57,usd1-wlfi,usd1,USD1,0.999749,2169671338,406408004.0,1.001,0.997768,0.0044,2025-08-04T23:25:41.985Z
2025-08-04,58,algorand,algo,Algorand,0.248564,2160657896,111810241.0,0.250216,0.24163,2.04369,2025-08-04T23:25:42.830Z
2025-08-04,59,arbitrum,arb,Arbitrum,0.407094,2097559916,210688454.0,0.411081,0.382528,5.91172,2025-08-04T23:25:43.172Z
2025-08-04,60,bonk,bonk,Bonk,2.668e-05,2066016649,399868462.0,2.722e-05,2.608e-05,1.43869,2025-08-04T23:25:43.762Z
2025-08-04,61,vechain,vet,VeChain,0.02376441,2043645029,35219983.0,0.02384335,0.02286191,2.57893,2025-08-04T23:25:42.540Z
2025-08-04,62,gatechain-token,gt,Gate,16.98,2028452819,5472110.0,17.21,16.79,-0.43859,2025-08-04T23:25:37.684Z
2025-08-04,63,cosmos,atom,Cosmos Hub,4.32,1998430629,92464786.0,4.34,4.24,1.09559,2025-08-04T23:25:37.410Z
2025-08-04,64,fasttoken,ftn,Fasttoken,4.58,1971416562,62157405.0,4.59,4.57,0.1286,2025-08-04T23:25:37.391Z
2025-08-04,65,polygon-ecosystem-token,pol,POL (ex-MATIC),0.212893,1923578287,78049723.0,0.213116,0.200708,4.94914,2025-08-04T23:25:39.993Z
2025-08-04,66,render-token,render,Render,3.7,1918841577,68651342.0,3.71,3.54,3.21647,2025-08-04T23:25:40.351Z
2025-08-04,67,worldcoin-wld,wld,Worldcoin,1.002,1834266601,158728675.0,1.013,0.97446,2.46613,2025-08-04T23:25:42.995Z
2025-08-04,68,story-2,ip,Story,6.19,1829218615,46340532.0,6.2,5.85,0.98769,2025-08-04T23:25:40.993Z
2025-08-04,69,susds,susds,sUSDS,1.062,1812838055,30916150.0,1.062,1.061,0.01892,2025-08-04T23:25:40.950Z
2025-08-04,70,official-trump,trump,Official Trump,9.03,1807125503,208928681.0,9.04,8.82,2.33422,2025-08-04T23:25:39.927Z
2025-08-04,71,binance-staked-sol,bnsol,Binance Staked SOL,180.46,1788175344,3121267.0,180.47,172.14,4.23238,2025-08-04T23:25:43.372Z
2025-08-04,72,sei-network,sei,Sei,0.305856,1769451546,192076741.0,0.306523,0.27987,8.95109,2025-08-04T23:25:40.732Z
2025-08-04,73,rocket-pool-eth,reth,Rocket Pool ETH,4237.23,1752884883,5825223.0,4251.56,3978.23,5.92441,2025-08-04T23:25:40.426Z
2025-08-04,74,sky,sky,Sky,0.082326,1749677657,2550240.0,0.082419,0.078596,3.99625,2025-08-04T23:25:43.976Z
2025-08-04,75,fetch-ai,fet,Artificial Superintelligence Alliance,0.667586,1738709954,69959826.0,0.668148,0.635065,4.86588,2025-08-04T23:25:37.674Z
2025-08-04,76,jupiter-perpetuals-liquidity-provider-token,jlp,Jupiter Perpetuals Liquidity Provider Token,4.96,1715697848,35049441.0,4.96,4.85,1.90648,2025-08-04T23:25:38.388Z
2025-08-04,77,flare-networks,flr,Flare,0.02368467,1692506407,16821294.0,0.0243499,0.02296825,1.97889,2025-08-04T23:25:37.528Z
2025-08-04,78,filecoin,fil,Filecoin,2.43,1662259159,109228976.0,2.44,2.34,3.48308,2025-08-04T23:25:37.601Z
2025-08-04,79,kelp-dao-restaked-eth,rseth,Kelp DAO Restaked ETH,3905.86,1657267765,1156472.0,3911.78,3665.98,5.90447,2025-08-04T23:25:38.285Z
2025-08-04,80,quant-network,qnt,Quant,112.13,1630862632,20945397.0,112.87,109.68,0.61166,2025-08-04T23:25:40.366Z
2025-08-04,81,spx6900,spx,SPX6900,1.74,1619355624,98378192.0,1.76,1.59,7.30712,2025-08-04T23:25:41.193Z
2025-08-04,82,lombard-staked-btc,lbtc,Lombard Staked BTC,115150.0,1602512532,7384578.0,116033.0,113582.0,0.79838,2025-08-04T23:25:38.609Z
2025-08-04,83,xdce-crowd-sale,xdc,XDC Network,0.095705,1553314421,32309986.0,0.096554,0.093185,2.57939,2025-08-04T23:25:42.558Z
2025-08-04,84,jupiter-exchange-solana,jup,Jupiter,0.487254,1491884997,55136395.0,0.487768,0.458702,4.15129,2025-08-04T23:25:38.884Z
2025-08-04,85,usdtb,usdtb,USDtb,0.999642,1437027146,3375117.0,1.0,0.999368,-0.02704,2025-08-04T23:25:41.591Z
2025-08-04,86,stakewise-v3-oseth,oseth,StakeWise Staked ETH,3828.81,1374383402,564852.0,3904.16,3677.23,3.54279,2025-08-04T23:25:40.830Z
2025-08-04,87,usdt0,usdt0,USDT0,1.001,1363264328,280809057.0,1.002,0.998369,0.04804,2025-08-04T23:25:42.249Z
2025-08-04,88,kucoin-shares,kcs,KuCoin,10.68,1361452584,5402702.0,10.69,10.45,1.2787,2025-08-04T23:25:38.433Z
2025-08-04,89,liquid-staked-ethereum,lseth,Liquid Staked ETH,4027.86,1356936114,888857.0,4030.77,3775.65,5.92727,2025-08-04T23:25:38.601Z
